tmc_code,measurement_tstamp,speed,historical_average_speed,travel_time_minutes,rolling_mean,rolling_std,anomaly_score
101N13828,2019-10-21 01:40:00,28.0,27.0,0.06,28.966666666666665,0.18257418583505813,-5.294651389216517
101N13828,2019-10-21 01:41:00,28.0,27.0,0.06,28.933333333333334,0.25370813170246437,-3.678767909685678
101N13828,2019-10-21 01:57:00,21.0,27.0,0.08,28.133333333333333,1.4558640835892136,-4.8997247845741025
101N13828,2019-10-21 01:58:00,22.0,27.0,0.08,27.9,1.826056614297786,-3.2310060672838756
101N13828,2019-10-21 04:25:00,28.0,27.0,0.06,28.966666666666665,0.182574185835334,-5.294651389208517
101N13828,2019-10-21 04:26:00,28.0,27.0,0.06,28.933333333333334,0.25370813170266243,-3.678767909682806
101N13828,2019-10-21 06:02:00,27.0,25.0,0.07,28.666666666666668,0.5466722735906243,-3.0487492181005535
101N13828,2019-10-21 06:30:00,31.0,25.0,0.06,26.466666666666665,1.4793599112881635,3.064388387668219
101N13828,2019-10-21 06:31:00,35.0,25.0,0.05,26.666666666666668,2.1063669217862993,3.956259114753981
101N13828,2019-10-21 06:32:00,35.0,25.0,0.05,26.933333333333334,2.5988503205274895,3.103936614952635
101N13828,2019-10-21 07:15:00,22.0,21.0,0.08,29.866666666666667,2.046583921349559,-3.843803610789255
101N13828,2019-10-21 07:16:00,20.0,21.0,0.09,29.6,2.711406302628054,-3.540598098741276
101N13828,2019-10-21 13:23:00,28.0,18.0,0.06,18.2,3.1006117305216554,3.1606666205675555
101N13828,2019-10-21 16:16:00,14.0,16.0,0.13,20.533333333333335,1.8888663510037207,-3.4588647999693576
101N13828,2019-10-21 16:17:00,13.0,16.0,0.14,20.233333333333334,2.314621192413116,-3.1250613953777027
101N13828,2019-10-21 17:31:00,25.0,17.0,0.07,17.266666666666666,2.3915560269174647,3.2335990653336344
101N13828,2019-10-21 18:13:00,26.0,17.0,0.07,19.766666666666666,1.8323403789601806,3.4018424769259497
101N13828,2019-10-21 20:33:00,32.0,19.0,0.06,26.6,1.6525841832592267,3.267609635080809
101N13828,2019-10-21 22:08:00,22.0,20.0,0.08,27.533333333333335,1.7759569219171893,-3.115691188815529
101N13828,2019-10-22 02:04:00,28.0,28.0,0.06,28.966666666666665,0.1825741858345077,-5.294651389232479
101N13828,2019-10-22 02:05:00,28.0,28.0,0.06,28.933333333333334,0.2537081317020702,-3.678767909691394
101N13828,2019-10-22 02:37:00,30.0,28.0,0.06,29.033333333333335,0.18257418583450274,5.294651389232623
101N13828,2019-10-22 02:38:00,30.0,28.0,0.06,29.066666666666666,0.2537081317020633,3.678767909691494
101N13828,2019-10-22 03:43:00,27.0,27.0,0.07,28.933333333333334,0.3651483716698353,-5.2946513892206
101N13828,2019-10-22 03:44:00,27.0,27.0,0.07,28.866666666666667,0.5074162634047292,-3.6787679096871244
101N13828,2019-10-22 05:25:00,27.0,28.0,0.07,28.933333333333334,0.36514837166982395,-5.294651389220765
101N13828,2019-10-22 05:26:00,25.0,28.0,0.07,28.8,0.8051557998727725,-4.7195834652131445
101N13828,2019-10-22 05:27:00,24.0,28.0,0.07,28.633333333333333,1.1885468767199419,-3.8983177054993754
101N13828,2019-10-22 05:28:00,19.0,28.0,0.09,28.3,2.1196941874420685,-4.387425344229836
101N13828,2019-10-22 05:29:00,19.0,28.0,0.09,27.966666666666665,2.7099221687936708,-3.3088281168821174
101N13828,2019-10-22 07:12:00,22.0,21.0,0.08,29.133333333333333,2.2853858548934385,-3.1212818255873653
101N13828,2019-10-22 07:13:00,20.0,21.0,0.09,28.733333333333334,2.765967229134066,-3.157424730613116
101N13828,2019-10-22 07:15:00,15.0,21.0,0.12,27.8,3.8987177379235782,-3.2831307266724994
101N13828,2019-10-22 09:26:00,27.0,19.0,0.07,15.966666666666667,3.0904004129957285,3.570195398284327
101N13828,2019-10-22 13:29:00,12.0,18.0,0.15,18.433333333333334,2.0956989342434293,-3.0697793601044316
101N13828,2019-10-22 14:08:00,27.0,18.0,0.07,20.033333333333335,1.7904600320691781,3.890992561624237
101N13828,2019-10-22 15:04:00,33.0,18.0,0.05,21.133333333333333,3.3190498571162266,3.5753204011756186
101N13828,2019-10-22 15:51:00,25.0,18.0,0.07,17.733333333333334,2.0499509385776142,3.544800282736883
101N13828,2019-10-22 15:54:00,26.0,18.0,0.07,18.2,2.5379872557491927,3.0733014842099773
101N13828,2019-10-22 17:11:00,14.0,15.0,0.13,21.433333333333334,1.794307729985364,-4.1427304854747335
101N13828,2019-10-22 17:12:00,14.0,15.0,0.13,21.233333333333334,2.238893404823266,-3.230762714183045
101N13828,2019-10-22 18:19:00,27.0,17.0,0.07,16.4,2.9196126337298742,3.630618623011728
101N13828,2019-10-22 20:49:00,28.0,18.0,0.06,19.4,2.647054315975499,3.248894421280777
101N13828,2019-10-22 22:34:00,20.0,19.0,0.09,24.933333333333334,1.5070714541175676,-3.2734568224052376
101N13828,2019-10-22 23:38:00,21.0,25.0,0.08,29.866666666666667,2.4876707473308395,-3.5642444548500674
