start_time,end_time,tmc,road,intersection,type,duration_minutes
2024-10-06 05:04:00,2024-10-06 05:12:00,112+15845,FM-528,NASA BYP (NORTH),short_window,9
2024-10-06 00:04:00,2024-10-06 00:10:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-06 00:46:00,2024-10-06 00:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-06 00:59:00,2024-10-06 01:05:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-06 02:09:00,2024-10-06 02:24:00,112P09580,FM-528,W BAY AREA BLVD,short_window,16
2024-10-06 06:42:00,2024-10-06 06:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,11
2024-10-06 07:09:00,2024-10-06 07:13:00,112P09580,FM-528,W BAY AREA BLVD,short_window,5
2024-10-06 07:48:00,2024-10-06 07:55:00,112P09580,FM-528,W BAY AREA BLVD,short_window,8
2024-10-06 13:44:00,2024-10-06 13:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,9
2024-10-06 14:15:00,2024-10-06 14:26:00,112P09580,FM-528,W BAY AREA BLVD,short_window,12
2024-10-06 14:57:00,2024-10-06 15:01:00,112P09580,FM-528,W BAY AREA BLVD,short_window,5
2024-10-06 15:15:00,2024-10-06 15:21:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-06 15:27:00,2024-10-06 15:44:00,112P09580,FM-528,W BAY AREA BLVD,short_window,18
2024-10-06 16:17:00,2024-10-06 16:22:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-06 16:38:00,2024-10-06 16:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,15
2024-10-06 17:19:00,2024-10-06 17:34:00,112P09580,FM-528,W BAY AREA BLVD,short_window,16
2024-10-06 17:47:00,2024-10-06 18:02:00,112P09580,FM-528,W BAY AREA BLVD,short_window,16
2024-10-06 19:10:00,2024-10-06 19:32:00,112P09580,FM-528,W BAY AREA BLVD,short_window,23
2024-10-06 20:09:00,2024-10-06 20:15:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
