tmc_code,measurement_tstamp,speed,historical_average_speed,historical_average_speed,reference_speed,travel_time_minutes,travel_time_minutes,confidence_score,confidence,data_quality,cvalue
101+53227,2024-10-13 00:00:00,40.00,44.00,44.00,44.00,2.36,2.36,93.00,0.93,93.00,
101+53227,2024-10-13 00:01:00,40.00,44.00,44.00,44.00,2.36,2.36,93.00,0.93,93.00,
101+53227,2024-10-13 00:02:00,40.00,44.00,44.00,44.00,2.36,2.36,92.00,0.92,92.00,
101+53227,2024-10-13 00:03:00,40.00,44.00,44.00,44.00,2.36,2.36,89.00,0.89,89.00,
101+53227,2024-10-13 00:04:00,40.00,44.00,44.00,44.00,2.36,2.36,87.00,0.87,87.00,
101+53227,2024-10-13 00:05:00,40.00,44.00,44.00,44.00,2.36,2.36,86.00,0.86,86.00,
101+53227,2024-10-13 00:06:00,40.00,44.00,44.00,44.00,2.36,2.36,86.00,0.86,86.00,
101+53227,2024-10-13 00:07:00,43.00,44.00,44.00,44.00,2.20,2.20,89.00,0.89,89.00,
101+53227,2024-10-13 00:08:00,48.00,44.00,44.00,44.00,1.97,1.97,90.00,0.90,90.00,
101+53227,2024-10-13 00:09:00,48.00,44.00,44.00,44.00,1.97,1.97,88.00,0.88,88.00,
101+53227,2024-10-13 00:10:00,47.00,44.00,44.00,44.00,2.01,2.01,89.00,0.89,89.00,
101+53227,2024-10-13 00:11:00,47.00,44.00,44.00,44.00,2.01,2.01,89.00,0.89,89.00,
101+53227,2024-10-13 00:12:00,44.00,44.00,44.00,44.00,2.15,2.15,90.00,0.90,90.00,
101+53227,2024-10-13 00:13:00,44.00,44.00,44.00,44.00,2.15,2.15,88.00,0.88,88.00,
101+53227,2024-10-13 00:14:00,44.00,44.00,44.00,44.00,2.15,2.15,86.00,0.86,86.00,
101+53227,2024-10-13 00:15:00,46.00,44.00,44.00,44.00,2.06,2.06,88.00,0.88,88.00,
101+53227,2024-10-13 00:16:00,49.00,44.00,44.00,44.00,1.93,1.93,90.00,0.90,90.00,
101+53227,2024-10-13 00:17:00,49.00,44.00,44.00,44.00,1.93,1.93,89.00,0.89,89.00,
