tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101+53227,BIRMINGHAM RD,EASTBOUND,HENDERSON RD,GA,FULTON,30004,34.16471,-84.32037,34.16502,-84.29366,1.575709,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53228,BIRMINGHAM RD,EASTBOUND,HOPEWELL RD,GA,FULTON,30004,34.16502,-84.29366,34.16273,-84.28781,0.399058,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53220,MOUNTAIN RD,WESTBOUND,HOPEWELL RD,GA,FULTON,30004,34.17827,-84.27229,34.17839,-84.27316,0.050541,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53241,HAGOOD RD/HAYGOOD RD,SOUTHBOUND,BETHANY WAY/BETHANY RD,GA,FULTON,30004,34.12358,-84.30384,34.11801,-84.30685,0.428971,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53241,HAGOOD RD/HAYGOOD RD,NORTHBOUND,BETHANY WAY/BETHANY RD,GA,FULTON,30004,34.11785,-84.307,34.11801,-84.30685,0.013984,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53242,HAGOOD RD/HAYGOOD RD,NORTHBOUND,REDD RD,GA,FULTON,30004,34.12358,-84.30384,34.12446,-84.30384,0.060654,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53244,PROVIDENCE RD,NORTHBOUND,MAYFIELD RD,GA,FULTON,30009,34.08772,-84.30799,34.08804,-84.30786,0.023282,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-05153,STATE BRIDGE RD,EASTBOUND,GA-141/MEDLOCK BRIDGE RD,GA,FULTON,30096,34.04083,-84.21975,34.01851,-84.19102,2.289922,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53238,REDD RD,EASTBOUND,HAGOOD RD/HAYGOOD RD,GA,FULTON,30004,34.12775,-84.30951,34.12446,-84.30384,0.416218,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53239,REDD RD,EASTBOUND,HOPEWELL RD,GA,FULTON,30004,34.12446,-84.30384,34.12443,-84.30247,0.078778,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53230,S THOMPSON RD,SOUTHBOUND,REDD RD,GA,FULTON,30004,34.15298,-84.28554,34.12911,-84.30895,2.293547,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53230,S THOMPSON RD,NORTHBOUND,REDD RD,GA,FULTON,30004,34.12775,-84.30951,34.12911,-84.30895,0.09953,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53231,S THOMPSON RD,NORTHBOUND,HOPEWELL RD,GA,FULTON,30004,34.15298,-84.28554,34.15276,-84.28531,0.03299,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53209,MCFARLAND PKWY,SOUTHBOUND,GA-9/ATLANTA HWY,GA,FORSYTH,30004,34.13621,-84.24885,34.13569,-84.24769,0.075535,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53208,MCFARLAND PKWY,SOUTHBOUND,UNION HILL RD,GA,FORSYTH,30004,34.13057,-84.23085,34.13022,-84.22988,0.060858,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53233,THOMPSON RD,EASTBOUND,HOPEWELL RD,GA,FULTON,30004,34.15295,-84.28528,34.15327,-84.28383,0.091011,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14332,GA-9,NORTHBOUND,DEERFIELD PKY,GA,FULTON,30004,34.10591,-84.26957,34.10695,-84.26936,0.07271,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14331,GA-9,NORTHBOUND,WEBB RD,GA,FULTON,30004,34.09796,-84.2718,34.09841,-84.27145,0.036943,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53209,MCFARLAND PKWY,NORTHBOUND,GA-9/ATLANTA HWY,GA,FORSYTH,30004,34.13059,-84.23024,34.136,-84.24807,1.138609,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14334,GA-9,NORTHBOUND,MCFARLAND RD/NINE MCFARLAND DR,GA,FORSYTH,30040,34.13621,-84.24885,34.13631,-84.24879,0.007703,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14333,GA-9,NORTHBOUND,BETHANY BND/BETHANY RD,GA,FULTON,30004,34.11804,-84.26995,34.11891,-84.2701,0.060578,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53207,MCFARLAND PKWY,NORTHBOUND,GA-400/US-19/TURNER MCDONALD PKWY/HOSPITALITY HWY,GA,FORSYTH,30005,34.11156,-84.22114,34.112,-84.22156,0.03874,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53208,MCFARLAND PKWY,NORTHBOUND,UNION HILL RD,GA,FORSYTH,30004,34.11591,-84.22305,34.12986,-84.22876,1.087345,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14335,GA-9,NORTHBOUND,GA-371/POST RD/MULLINAX RD,GA,FORSYTH,30040,34.1588,-84.23672,34.15897,-84.23628,0.027801,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53205,MCFARLAND PKWY,NORTHBOUND,SHILOH RD,GA,FORSYTH,30005,34.10032,-84.21601,34.10571,-84.21705,0.377128,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53206,MCFARLAND PKWY,NORTHBOUND,RONALD REAGAN BLVD,GA,FORSYTH,30005,34.10616,-84.21716,34.11113,-84.22058,0.41567,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14337,DEERFIELD PKY,NORTHBOUND,WINDWARD PKY W,GA,FULTON,30004,34.08773,-84.26936,34.08843,-84.26912,0.050251,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P06954,STATE BRIDGE RD,WESTBOUND,GA-120/KIMBALL BRIDGE RD,GA,FULTON,30005,34.0546,-84.23023,34.0563,-84.23141,0.135404,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P05624,GA-9,NORTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30076,34.07126,-84.29664,34.07148,-84.29646,0.018347,16.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
