tmc,road,intersection,has_anomalies,total_anomaly_duration_minutes
101+53227,BIRMINGHAM RD,HENDERSON RD,False,0.0
101+53228,BIRMINGHAM RD,HOPEWELL RD,False,0.0
101N53220,MOUNTAIN RD,HOPEWELL RD,False,0.0
101-53241,HAGOOD RD/HAYGOOD RD,BETHANY WAY/BETHANY RD,False,0.0
101P53241,HAGOOD RD/HAYGOOD RD,BETHANY WAY/BETHANY RD,True,0.0
101P53242,HAGOOD RD/HAYGOOD RD,REDD RD,False,0.0
101P53244,PROVIDENCE RD,MAYFIELD RD,False,0.0
101-05153,STATE BRIDGE RD,GA-141/MEDLOCK BRIDGE RD,False,0.0
101+53238,REDD RD,HAGOOD RD/HAYGOOD RD,False,0.0
101+53239,REDD RD,HOPEWELL RD,False,0.0
101-53230,S THOMPSON RD,REDD RD,False,0.0
101P53230,S THOMPSON RD,REDD RD,True,0.0
101P53231,S THOMPSON RD,HOPEWELL RD,False,0.0
101N53209,MCFARLAND PKWY,GA-9/ATLANTA HWY,True,0.0
101N53208,MCFARLAND PKWY,UNION HILL RD,False,0.0
101P53233,THOMPSON RD,HOPEWELL RD,False,0.0
101P14332,GA-9,DEERFIELD PKY,False,0.0
101P14331,GA-9,WEBB RD,False,0.0
101+53209,MCFARLAND PKWY,GA-9/ATLANTA HWY,False,0.0
101P14334,GA-9,MCFARLAND RD/NINE MCFARLAND DR,False,0.0
101P14333,GA-9,BETHANY BND/BETHANY RD,False,0.0
101+53207,MCFARLAND PKWY,GA-400/US-19/TURNER MCDONALD PKWY/HOSPITALITY HWY,True,0.0
101+53208,MCFARLAND PKWY,UNION HILL RD,False,0.0
101P14335,GA-9,GA-371/POST RD/MULLINAX RD,False,0.0
101+53205,MCFARLAND PKWY,SHILOH RD,False,0.0
101+53206,MCFARLAND PKWY,RONALD REAGAN BLVD,True,11.0
101P14337,DEERFIELD PKY,WINDWARD PKY W,False,0.0
101P06954,STATE BRIDGE RD,GA-120/KIMBALL BRIDGE RD,False,0.0
101P05624,GA-9,GA-120/OLD MILTON PKY,True,13.0
101P06955,STATE BRIDGE RD,JONES BRIDGE RD,False,0.0
101P06956,STATE BRIDGE RD,MORTON RD,False,0.0
101P05622,WINDWARD PKY W,US-19/GA-400,False,0.0
101P06953,STATE BRIDGE RD,GA-120/OLD MILTON PKY,False,0.0
101-53141,CHARLOTTE DR,MID BROADWELL RD,False,0.0
101P53220,MOUNTAIN RD,HOPEWELL RD,False,0.0
101N53319,SARGENT RD,MCGINNIS FERRY RD,True,9.0
101P14330,GA-9,WINDWARD PKY W,False,0.0
101N53318,SARGENT RD,JONES BRIDGE RD,False,0.0
101P53222,HENDERSON RD,BIRMINGHAM RD,False,0.0
101-20109,WATERS RD,JONES BRIDGE RD,False,0.0
101+53219,MOUNTAIN RD,FREEMANVILLE RD,False,0.0
101+53216,FREEMANVILLE RD,MOUNTAIN RD,False,0.0
101+14332,GA-9,DEERFIELD PKY,False,0.0
101N20091,HEMBREE RD,OLD ROSWELL RD,False,0.0
101-53130,COGBURN RD,BETHANY BND/BETHANY RD,False,0.0
101-53251,CUMMING ST,GA-9/N MAIN ST,False,0.0
101N20092,HEMBREE RD,WESTSIDE PKWY,True,14.0
101+14331,GA-9,WEBB RD,False,0.0
101N53309,BROADWELL RD,GA-372/CRABAPPLE RD/MAYFIELD RD,False,0.0
101N53308,BROADWELL RD,RUCKER RD,False,0.0
101P53212,FREEMANVILLE RD,PROVIDENCE RD,False,0.0
101P53211,FREEMANVILLE RD,MAYFIELD RD,False,0.0
101+53309,BROADWELL RD,GA-372/CRABAPPLE RD/MAYFIELD RD,False,0.0
